"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 30 14:49:34 ALMT 2023","Fri Jun 30 14:49:37 ALMT 2023","3033","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [4] user@, user, any text, Sale, Введите часть адреса после символа ""@"". Адрес ""user@"" неполный.",""
"passed","Fri Jun 30 14:34:03 ALMT 2023","Fri Jun 30 14:34:06 ALMT 2023","2948","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [8] , , any text, Sale, Email and Name are empty",""
"failed","Fri Jun 30 15:35:26 ALMT 2023","Fri Jun 30 15:35:29 ALMT 2023","3280","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateNameDataFormTest","validateNameDataFormTest(String, String, String, String, String) [2] user@mail.ru, user#2, any text, Sale, Name is incorrect",""
"passed","Fri Jun 30 14:49:27 ALMT 2023","Fri Jun 30 14:49:30 ALMT 2023","2981","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [2] user<@mail.ru, user.name, any text, Discount, Часть адреса до @ не может содержать символ ""<"".",""
"passed","Fri Jun 30 14:33:24 ALMT 2023","Fri Jun 30 14:33:36 ALMT 2023","11700","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [5] user@, кириллица, aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab, Sale, Введите часть адреса после символа ""@"". Адрес ""user@"" неполный.",""
"passed","Fri Jun 30 14:49:30 ALMT 2023","Fri Jun 30 14:49:34 ALMT 2023","3457","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [3] usermail.ru, user@user, any text, Offer, Адрес электронной почты должен содержать символ ""@"". В адресе ""usermail.ru"" отсутствует символ ""@"".",""
"skipped","Fri Jun 30 15:35:22 ALMT 2023","Fri Jun 30 15:35:22 ALMT 2023","2","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateEmailDataFormTest","validateEmailDataFormTest(String, String, String, String, String)",""
"passed","Fri Jun 30 15:35:22 ALMT 2023","Fri Jun 30 15:35:26 ALMT 2023","3855","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateNameDataFormTest","validateNameDataFormTest(String, String, String, String, String) [1] user@mail.ru, user123, any text, Offer, LoggedIn",""
"passed","Fri Jun 30 14:33:36 ALMT 2023","Fri Jun 30 14:33:44 ALMT 2023","8020","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateDataFormTest","validateDataFormTest(String, String, String, String, String) [6] user@mail.ru, , , Discount, Name and Texts are empty",""
"failed","Fri Jun 30 15:35:29 ALMT 2023","Fri Jun 30 15:35:33 ALMT 2023","3686","","tech.apileads.tests.ApileadsMainTest","","tech.apileads.tests.ApileadsMainTest","validateNameDataFormTest","validateNameDataFormTest(String, String, String, String, String) [3] user@mail.ru, useruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseruseb, any text, Offer, Name is incorrect",""
